status,paid_only,is_favor,frequency,progress,stat_question_id,stat_question__article__live,stat_question__article__slug,stat_question__article__has_video_solution,stat_question__title,stat_question__title_slug,stat_question__hide,stat_total_acs,stat_total_submitted,stat_frontend_question_id,stat_is_new_question,difficulty_level
,False,False,0,0,2048,,,,Build Array from Permutation,build-array-from-permutation,False,28350,30149,1920,False,1
,False,False,0,0,2047,,,,Find a Peak Element II,find-a-peak-element-ii,False,4029,6635,1901,False,2
,True,False,0,0,2045,,,,Cutting Ribbons,cutting-ribbons,False,2556,5011,1891,False,2
,False,False,0,0,2044,,,,Number of Wonderful Substrings,number-of-wonderful-substrings,False,4868,12753,1915,False,2
,False,False,0,0,2043,,,,Cyclically Rotating a Grid,cyclically-rotating-a-grid,False,6742,15508,1914,False,2
,False,False,0,0,2042,,,,Maximum Product Difference Between Two Pairs,maximum-product-difference-between-two-pairs,False,22661,27443,1913,False,1
,False,False,0,0,2040,,,,Minimum Cost to Reach Destination in Time,minimum-cost-to-reach-destination-in-time,False,3932,11614,1928,False,3
,False,False,0,0,2039,,,,Sum Game,sum-game,False,4241,8970,1927,False,2
,False,False,0,0,2038,,,,Nearest Exit from Entrance in Maze,nearest-exit-from-entrance-in-maze,False,7896,21992,1926,False,2
,False,False,0,0,2037,,,,Count Square Sum Triples,count-square-sum-triples,False,11642,18001,1925,False,1
,True,False,0,0,2036,,,,Count Pairs in Two Arrays,count-pairs-in-two-arrays,False,913,1645,1885,False,2
,False,False,0,0,2035,,,,Count Sub Islands,count-sub-islands,False,11304,18592,1905,False,2
,False,False,0,0,2034,,,,Minimum Absolute Difference Queries,minimum-absolute-difference-queries,False,5661,13495,1906,False,2
,False,False,0,0,2033,,,,The Number of Full Rounds You Have Played,the-number-of-full-rounds-you-have-played,False,13556,27386,1904,False,2
,False,False,0,0,2032,,,,Largest Odd Number in String,largest-odd-number-in-string,False,18593,32165,1903,False,1
,False,False,0,0,2031,,,,Egg Drop With 2 Eggs and N Floors,egg-drop-with-2-eggs-and-n-floors,False,6591,9337,1884,False,2
,True,False,0,0,2029,,,,Minimize Product Sum of Two Arrays,minimize-product-sum-of-two-arrays,False,2410,2652,1874,False,2
,False,False,0,0,2028,,,,The Earliest and Latest Rounds Where Players Compete,the-earliest-and-latest-rounds-where-players-compete,False,2993,6020,1900,False,3
,False,False,0,0,2027,,,,Maximum Number of Removable Characters,maximum-number-of-removable-characters,False,8952,27099,1898,False,2
,False,False,0,0,2026,,,,Merge Triplets to Form Target Triplet,merge-triplets-to-form-target-triplet,False,9774,16435,1899,False,2
,False,False,0,0,2025,,,,Redistribute Characters to Make All Strings Equal,redistribute-characters-to-make-all-strings-equal,False,14978,25230,1897,False,1
,False,False,0,0,2023,,,,Design Movie Rental System,design-movie-rental-system,False,2676,6324,1912,False,3
,False,False,0,0,2022,,,,Maximum Alternating Subsequence Sum,maximum-alternating-subsequence-sum,False,8067,14016,1911,False,2
,False,False,0,0,2021,,,,Remove All Occurrences of a Substring,remove-all-occurrences-of-a-substring,False,11614,16002,1910,False,2
,False,False,0,0,2020,,,,Remove One Element to Make the Array Strictly Increasing,remove-one-element-to-make-the-array-strictly-increasing,False,11547,37376,1909,False,1
,True,False,0,0,2019,,,,Product of Two Run-Length Encoded Arrays,product-of-two-run-length-encoded-arrays,False,1343,2246,1868,False,2
,False,False,0,0,2018,,,,Minimum Space Wasted From Packaging,minimum-space-wasted-from-packaging,False,5031,17389,1889,False,3
,False,False,0,0,2017,,,,Minimum Number of Flips to Make the Binary String Alternating,minimum-number-of-flips-to-make-the-binary-string-alternating,False,7939,23143,1888,False,2
,False,False,0,0,2016,,,,Reduction Operations to Make the Array Elements Equal,reduction-operations-to-make-the-array-elements-equal,False,12676,21113,1887,False,2
,False,False,0,0,2015,,,,Determine Whether Matrix Can Be Obtained By Rotation,determine-whether-matrix-can-be-obtained-by-rotation,False,14275,26464,1886,False,1
,False,False,0,0,2013,,,,Minimum Skips to Arrive at Meeting On Time,minimum-skips-to-arrive-at-meeting-on-time,False,3511,9145,1883,False,3
,False,False,0,0,2012,,,,Process Tasks Using Servers,process-tasks-using-servers,False,8316,26108,1882,False,2
,False,False,0,0,2011,,,,Maximum Value after Insertion,maximum-value-after-insertion,False,12654,37085,1881,False,2
,False,False,0,0,2010,,,,Check if Word Equals Summation of Two Words,check-if-word-equals-summation-of-two-words,False,29419,40824,1880,False,1
,True,False,0,0,2009,,,,Longest Word With All Prefixes,longest-word-with-all-prefixes,False,1590,2410,1858,False,2
,False,False,0,0,2008,,,,Minimum Cost to Change the Final Value of Expression,minimum-cost-to-change-the-final-value-of-expression,False,1773,3427,1896,False,3
,False,False,0,0,2006,,,,Find the Student that Will Replace the Chalk,find-the-student-that-will-replace-the-chalk,False,11280,28856,1894,False,2
,False,False,0,0,2005,,,,Check if All the Integers in a Range Are Covered,check-if-all-the-integers-in-a-range-are-covered,False,13011,26030,1893,False,1
,True,False,0,0,2003,,,,Distinct Numbers in Each Subarray,distinct-numbers-in-each-subarray,False,1827,2418,1852,False,2
,False,False,0,0,2002,,,,Stone Game VIII,stone-game-viii,False,3652,7119,1872,False,3
,False,False,0,0,2001,,,,Jump Game VII,jump-game-vii,False,12242,50492,1871,False,2
,False,False,0,0,2000,,,,Minimum Speed to Arrive on Time,minimum-speed-to-arrive-on-time,False,11010,33464,1870,False,2
,False,False,0,0,1999,,,,Longer Contiguous Segments of Ones than Zeros,longer-contiguous-segments-of-ones-than-zeros,False,19864,33400,1869,False,1
,True,False,0,0,1997,,,,Next Palindrome Using Same Digits,next-palindrome-using-same-digits,False,634,1012,1842,False,3
,False,False,0,0,1996,,,,Number of Ways to Rearrange Sticks With K Sticks Visible,number-of-ways-to-rearrange-sticks-with-k-sticks-visible,False,5533,10172,1866,False,3
,False,False,0,0,1995,,,,Finding Pairs With a Certain Sum,finding-pairs-with-a-certain-sum,False,9385,20374,1865,False,2
,False,False,0,0,1994,,,,Minimum Number of Swaps to Make the Binary String Alternating,minimum-number-of-swaps-to-make-the-binary-string-alternating,False,9318,25388,1864,False,2
,False,False,0,0,1993,,,,Sum of All Subset XOR Totals,sum-of-all-subset-xor-totals,False,18341,23548,1863,False,1
,False,False,0,0,1990,,,,Get Biggest Three Rhombus Sums in a Grid,get-biggest-three-rhombus-sums-in-a-grid,False,5208,11994,1878,False,2
,False,False,0,0,1989,,,,Minimum XOR Sum of Two Arrays,minimum-xor-sum-of-two-arrays,False,5253,13910,1879,False,3
,False,False,0,0,1988,,,,Minimize Maximum Pair Sum in Array,minimize-maximum-pair-sum-in-array,False,17433,22092,1877,False,2
,False,False,0,0,1987,,,,Substrings of Size Three with Distinct Characters,substrings-of-size-three-with-distinct-characters,False,17465,25579,1876,False,1
,False,False,0,0,1986,,,,Largest Color Value in a Directed Graph,largest-color-value-in-a-directed-graph,False,5699,15255,1857,False,3
,False,False,0,0,1985,,,,Maximum Subarray Min-Product,maximum-subarray-min-product,False,7682,22882,1856,False,2
,False,False,0,0,1984,,,,Maximum Distance Between a Pair of Values,maximum-distance-between-a-pair-of-values,False,13122,28257,1855,False,2
,False,False,0,0,1983,,,,Maximum Population Year,maximum-population-year,False,16497,28655,1854,False,1
,True,False,0,0,1982,,,,Remove Duplicates From an Unsorted Linked List,remove-duplicates-from-an-unsorted-linked-list,False,3964,5596,1836,False,2
,True,False,0,0,1980,,,,Faulty Sensor,faulty-sensor,False,1503,2879,1826,False,1
,False,False,0,0,1978,,,,Minimum Adjacent Swaps to Reach the Kth Smallest Number,minimum-adjacent-swaps-to-reach-the-kth-smallest-number,False,6087,9480,1850,False,2
,False,False,0,0,1977,,,,Minimum Interval to Include Each Query,minimum-interval-to-include-each-query,False,4698,10713,1851,False,3
,False,False,0,0,1976,,,,Splitting a String Into Descending Consecutive Values,splitting-a-string-into-descending-consecutive-values,False,9191,32930,1849,False,2
,False,False,0,0,1975,,,,Minimum Distance to the Target Element,minimum-distance-to-the-target-element,False,17534,29158,1848,False,1
,False,False,0,0,1972,,,,Rotating the Box,rotating-the-box,False,10288,16457,1861,False,2
,False,False,0,0,1971,,,,Incremental Memory Leak,incremental-memory-leak,False,9261,13341,1860,False,2
,False,False,0,0,1970,,,,Sorting the Sentence,sorting-the-sentence,False,25447,30682,1859,False,1
,True,False,0,0,1969,,,,Maximum Number of Accepted Invitations,maximum-number-of-accepted-invitations,False,688,1449,1820,False,2
,False,False,0,0,1968,,,,Maximum Building Height,maximum-building-height,False,3848,11174,1840,False,3
,False,False,0,0,1967,,,,Longest Substring Of All Vowels in Order,longest-substring-of-all-vowels-in-order,False,13067,27616,1839,False,2
,False,False,0,0,1966,,,,Frequency of the Most Frequent Element,frequency-of-the-most-frequent-element,False,10845,32137,1838,False,2
,False,False,0,0,1965,,,,Sum of Digits in Base K,sum-of-digits-in-base-k,False,19471,25930,1837,False,1
,False,False,0,0,1963,,,,Find XOR Sum of All Pairs Bitwise AND,find-xor-sum-of-all-pairs-bitwise-and,False,7932,13904,1835,False,3
,False,False,0,0,1962,,,,Single-Threaded CPU,single-threaded-cpu,False,12553,35813,1834,False,2
,False,False,0,0,1961,,,,Maximum Ice Cream Bars,maximum-ice-cream-bars,False,24179,37785,1833,False,2
,False,False,0,0,1960,,,,Check if the Sentence Is Pangram,check-if-the-sentence-is-pangram,False,42611,51729,1832,False,1
,True,False,0,0,1959,,,,Minimum Path Cost in a Hidden Grid,minimum-path-cost-in-a-hidden-grid,False,1068,1983,1810,False,2
,False,False,0,0,1957,,,,Closest Room,closest-room,False,4172,13118,1847,False,3
,False,False,0,0,1956,,,,Maximum Element After Decreasing and Rearranging,maximum-element-after-decreasing-and-rearranging,False,9011,16302,1846,False,2
,False,False,0,0,1955,,,,Seat Reservation Manager,seat-reservation-manager,False,11688,20742,1845,False,2
,False,False,0,0,1954,,,,Replace All Digits with Characters,replace-all-digits-with-characters,False,22391,27990,1844,False,1
,False,False,0,0,1953,,,,Finding MK Average,finding-mk-average,False,4392,15045,1825,False,3
,False,False,0,0,1952,,,,Minimum Sideway Jumps,minimum-sideway-jumps,False,11316,23637,1824,False,2
,False,False,0,0,1951,,,,Find the Winner of the Circular Game,find-the-winner-of-the-circular-game,False,16774,23106,1823,False,2
,False,False,0,0,1950,,,,Sign of the Product of an Array,sign-of-the-product-of-an-array,False,35500,54390,1822,False,1
,True,False,0,0,1949,,,,Implement Trie II (Prefix Tree),implement-trie-ii-prefix-tree,False,2542,4349,1804,False,2
,False,False,0,0,1947,,,,Number of Different Subsequences GCDs,number-of-different-subsequences-gcds,False,4420,12583,1819,False,3
,False,False,0,0,1946,,,,Minimum Absolute Sum Difference,minimum-absolute-sum-difference,False,9149,32168,1818,False,2
,False,False,0,0,1945,,,,Finding the Users Active Minutes,finding-the-users-active-minutes,False,16460,20931,1817,False,2
,False,False,0,0,1944,,,,Truncate Sentence,truncate-sentence,False,32749,40750,1816,False,1
,True,False,0,0,1943,,,,Count Pairs of Equal Substrings With Minimum Difference,count-pairs-of-equal-substrings-with-minimum-difference,False,885,1309,1794,False,2
,False,False,0,0,1941,,,,Minimum Number of Operations to Make String Sorted,minimum-number-of-operations-to-make-string-sorted,False,1834,3897,1830,False,3
,False,False,0,0,1940,,,,Maximum XOR for Each Query,maximum-xor-for-each-query,False,9665,13020,1829,False,2
,False,False,0,0,1939,,,,Queries on Number of Points Inside a Circle,queries-on-number-of-points-inside-a-circle,False,19240,22184,1828,False,2
,False,False,0,0,1938,,,,Minimum Operations to Make the Array Increasing,minimum-operations-to-make-the-array-increasing,False,23996,30820,1827,False,1
,True,False,0,0,1937,,,,Maximize the Beauty of the Garden,maximize-the-beauty-of-the-garden,False,934,1386,1788,False,3
,False,False,0,0,1936,,,,Maximize Number of Nice Divisors,maximize-number-of-nice-divisors,False,3803,13383,1808,False,3
,False,False,0,0,1935,,,,Minimum Number of Operations to Reinitialize a Permutation,minimum-number-of-operations-to-reinitialize-a-permutation,False,10479,14869,1806,False,2
,False,False,0,0,1934,,,,Evaluate the Bracket Pairs of a String,evaluate-the-bracket-pairs-of-a-string,False,13046,19648,1807,False,2
,False,False,0,0,1933,,,,Number of Different Integers in a String,number-of-different-integers-in-a-string,False,17082,48925,1805,False,1
,True,False,0,0,1931,,,,Shortest Path in a Hidden Grid,shortest-path-in-a-hidden-grid,False,2436,5446,1778,False,2
,False,False,0,0,1930,,,,Maximum Number of Consecutive Values You Can Make,maximum-number-of-consecutive-values-you-can-make,False,6554,13797,1798,False,2
,False,False,0,0,1929,,,,Maximum Value at a Given Index in a Bounded Array,maximum-value-at-a-given-index-in-a-bounded-array,False,7203,25192,1802,False,2
,False,False,0,0,1928,,,,Number of Orders in the Backlog,number-of-orders-in-the-backlog,False,7328,16437,1801,False,2
,False,False,0,0,1927,,,,Maximum Ascending Subarray Sum,maximum-ascending-subarray-sum,False,20508,31845,1800,False,1
,False,False,0,0,1925,,,,Count Nice Pairs in an Array,count-nice-pairs-in-an-array,False,9495,24178,1814,False,2
,False,False,0,0,1924,,,,Maximum Number of Groups Getting Fresh Donuts,maximum-number-of-groups-getting-fresh-donuts,False,3219,8144,1815,False,3
,False,False,0,0,1923,,,,Sentence Similarity III,sentence-similarity-iii,False,6570,20778,1813,False,2
,False,False,0,0,1920,,,,Determine Color of a Chessboard Square,determine-color-of-a-chessboard-square,False,21905,28431,1812,False,1
,True,False,0,0,1919,,,,Sort Features by Popularity,sort-features-by-popularity,False,2143,3256,1772,False,2
,False,False,0,0,1918,,,,Maximum Score of a Good Subarray,maximum-score-of-a-good-subarray,False,8127,16666,1793,False,3
,False,False,0,0,1917,,,,Maximum Average Pass Ratio,maximum-average-pass-ratio,False,10289,21253,1792,False,2
,False,False,0,0,1916,,,,Find Center of Star Graph,find-center-of-star-graph,False,37836,44977,1791,False,1
,False,False,0,0,1915,,,,Check if One String Swap Can Make Strings Equal,check-if-one-string-swap-can-make-strings-equal,False,19657,44054,1790,False,1
,False,False,0,0,1913,,,,Make the XOR of All Segments Equal to Zero,make-the-xor-of-all-segments-equal-to-zero,False,2668,7077,1787,False,3
,False,False,0,0,1912,,,,Number of Restricted Paths From First to Last Node,number-of-restricted-paths-from-first-to-last-node,False,8246,22480,1786,False,2
,False,False,0,0,1911,,,,Minimum Elements to Add to Form a Given Sum,minimum-elements-to-add-to-form-a-given-sum,False,11280,28097,1785,False,2
,False,False,0,0,1910,,,,Check if Binary String Has at Most One Segment of Ones,check-if-binary-string-has-at-most-one-segment-of-ones,False,17246,41845,1784,False,1
,True,False,0,0,1909,,,,Buildings With an Ocean View,buildings-with-an-ocean-view,False,19303,23723,1762,False,2
,False,False,0,0,1907,,,,Count Pairs With XOR in a Range,count-pairs-with-xor-in-a-range,False,3557,7865,1803,False,3
,False,False,0,0,1906,,,,Maximize Score After N Operations,maximize-score-after-n-operations,False,7110,15510,1799,False,3
,False,False,0,0,1905,,,,Design Authentication Manager,design-authentication-manager,False,7224,14271,1797,False,2
,False,False,0,0,1904,,,,Second Largest Digit in a String,second-largest-digit-in-a-string,False,15516,32127,1796,False,1
,True,False,0,0,1903,,,,Design Most Recently Used Queue,design-most-recently-used-queue,False,2852,3650,1756,False,2
,False,False,0,0,1902,,,,Car Fleet II,car-fleet-ii,False,9810,19586,1776,False,3
,False,False,0,0,1901,,,,Equal Sum Arrays With Minimum Number of Operations,equal-sum-arrays-with-minimum-number-of-operations,False,9277,18365,1775,False,2
,False,False,0,0,1900,,,,Closest Dessert Cost,closest-dessert-cost,False,10426,22931,1774,False,2
,False,False,0,0,1899,,,,Count Items Matching a Rule,count-items-matching-a-rule,False,58346,68927,1773,False,1
,False,False,0,0,1897,,,,Maximize Palindrome Length From Subsequences,maximize-palindrome-length-from-subsequences,False,5774,16768,1771,False,3
,False,False,0,0,1896,,,,Maximum Score from Performing Multiplication Operations,maximum-score-from-performing-multiplication-operations,False,11120,36211,1770,False,2
,False,False,0,0,1895,,,,Minimum Number of Operations to Move All Balls to Each Box,minimum-number-of-operations-to-move-all-balls-to-each-box,False,43648,50836,1769,False,2
,False,False,0,0,1894,,,,Merge Strings Alternately,merge-strings-alternately,False,31745,42748,1768,False,1
,True,False,0,0,1893,,,,Maximum Subarray Sum After One Operation,maximum-subarray-sum-after-one-operation,False,1851,3017,1746,False,2
,False,False,0,0,1891,,,,Count Pairs Of Nodes,count-pairs-of-nodes,False,3279,9195,1782,False,3
,False,False,0,0,1890,,,,Sum of Beauty of All Substrings,sum-of-beauty-of-all-substrings,False,9756,16583,1781,False,2
,False,False,0,0,1889,,,,Check if Number is a Sum of Powers of Three,check-if-number-is-a-sum-of-powers-of-three,False,15069,23754,1780,False,2
,False,False,0,0,1888,,,,Find Nearest Point That Has the Same X or Y Coordinate,find-nearest-point-that-has-the-same-x-or-y-coordinate,False,16885,25156,1779,False,1
,False,False,0,0,1887,,,,Minimum Degree of a Connected Trio in a Graph,minimum-degree-of-a-connected-trio-in-a-graph,False,7985,20296,1761,False,3
,False,False,0,0,1886,,,,Minimum Limit of Balls in a Bag,minimum-limit-of-balls-in-a-bag,False,10607,19509,1760,False,2
,False,False,0,0,1885,,,,Count Number of Homogenous Substrings,count-number-of-homogenous-substrings,False,12774,29098,1759,False,2
,False,False,0,0,1884,,,,Minimum Changes To Make Alternating Binary String,minimum-changes-to-make-alternating-binary-string,False,19805,33811,1758,False,1
,True,False,0,0,1883,,,,Find Distance in a Binary Tree,find-distance-in-a-binary-tree,False,5500,7973,1740,False,2
,False,False,0,0,1881,,,,Closest Subsequence Sum,closest-subsequence-sum,False,5516,16031,1755,False,3
,False,False,0,0,1880,,,,Largest Merge Of Two Strings,largest-merge-of-two-strings,False,11002,26135,1754,False,2
,False,False,0,0,1879,,,,Maximum Score From Removing Stones,maximum-score-from-removing-stones,False,14634,23109,1753,False,2
,False,False,0,0,1878,,,,Check if Array Is Sorted and Rotated,check-if-array-is-sorted-and-rotated,False,19716,43993,1752,False,1
,False,False,0,0,1876,,,,Map of Highest Peak,map-of-highest-peak,False,10502,18233,1765,False,2
,False,False,0,0,1875,,,,Tree of Coprimes,tree-of-coprimes,False,3845,10549,1766,False,3
,False,False,0,0,1874,,,,Form Array by Concatenating Subarrays of Another Array,form-array-by-concatenating-subarrays-of-another-array,False,8250,15504,1764,False,2
,False,False,0,0,1873,,,,Longest Nice Substring,longest-nice-substring,False,12441,20227,1763,False,1
,False,False,0,0,1872,,,,Can You Eat Your Favorite Candy on Your Favorite Day?,can-you-eat-your-favorite-candy-on-your-favorite-day,False,6694,21303,1744,False,2
,False,False,0,0,1871,,,,Palindrome Partitioning IV,palindrome-partitioning-iv,False,10264,20628,1745,False,3
,False,False,0,0,1866,,,,Restore the Array From Adjacent Pairs,restore-the-array-from-adjacent-pairs,False,14290,21790,1743,False,2
,True,False,0,0,1865,,,,Checking Existence of Edge Length Limited Paths II,checking-existence-of-edge-length-limited-paths-ii,False,1166,2076,1724,False,3
,False,False,0,0,1861,,,,Building Boxes,building-boxes,False,3993,7927,1739,False,3
,False,False,0,0,1860,,,,Find Kth Largest XOR Coordinate Value,find-kth-largest-xor-coordinate-value,False,10441,16635,1738,False,2
,False,False,0,0,1859,,,,Change Minimum Characters to Satisfy One of Three Conditions,change-minimum-characters-to-satisfy-one-of-three-conditions,False,6966,22328,1737,False,2
,False,False,0,0,1858,,,,Latest Time by Replacing Hidden Digits,latest-time-by-replacing-hidden-digits,False,17119,41191,1736,False,1
,False,False,0,0,1851,,,,Maximum Number of Events That Can Be Attended II,maximum-number-of-events-that-can-be-attended-ii,False,7017,13919,1751,False,3
,False,False,0,0,1850,,,,Minimum Length of String After Deleting Similar Ends,minimum-length-of-string-after-deleting-similar-ends,False,9825,23138,1750,False,2
,False,False,0,0,1849,,,,Maximum Absolute Sum of Any Subarray,maximum-absolute-sum-of-any-subarray,False,12568,23048,1749,False,2
,False,False,0,0,1848,,,,Sum of Unique Elements,sum-of-unique-elements,False,44885,60092,1748,False,1
,True,False,0,0,1847,,,,Largest Subarray Length K,largest-subarray-length-k,False,3458,5396,1708,False,1
,False,False,0,0,1845,,,,Largest Submatrix With Rearrangements,largest-submatrix-with-rearrangements,False,9003,15128,1727,False,2
,False,False,0,0,1844,,,,Maximum Number of Balls in a Box,maximum-number-of-balls-in-a-box,False,28181,38550,1742,False,1
,False,False,0,0,1843,,,,Number Of Rectangles That Can Form The Largest Square,number-of-rectangles-that-can-form-the-largest-square,False,28731,36638,1725,False,1
,False,False,0,0,1840,,,,Minimize Hamming Distance After Swap Operations,minimize-hamming-distance-after-swap-operations,False,9126,19724,1722,False,2
,False,False,0,0,1839,,,,Decode XORed Array,decode-xored-array,False,40647,47471,1720,False,1
,True,False,0,0,1838,,,,Number of Distinct Substrings in a String,number-of-distinct-substrings-in-a-string,False,2551,4158,1698,False,2
,False,False,0,0,1836,,,,Count Ways to Make Array With Product,count-ways-to-make-array-with-product,False,2581,5275,1735,False,3
,False,False,0,0,1835,,,,Decode XORed Permutation,decode-xored-permutation,False,7006,12122,1734,False,2
,False,False,0,0,1834,,,,Minimum Number of People to Teach,minimum-number-of-people-to-teach,False,4741,12168,1733,False,2
,False,False,0,0,1833,,,,Find the Highest Altitude,find-the-highest-altitude,False,44066,55629,1732,False,1
,False,False,0,0,1832,,,,Minimum Operations to Make a Subsequence,minimum-operations-to-make-a-subsequence,False,4885,10511,1713,False,3
,False,False,0,0,1831,False,ways-to-split-array-into-three-subarrays,False,Ways to Split Array Into Three Subarrays,ways-to-split-array-into-three-subarrays,False,10946,37336,1712,False,2
,False,False,0,0,1830,,,,Count Good Meals,count-good-meals,False,17407,63411,1711,False,2
,False,False,0,0,1829,True,maximum-units-on-a-truck,False,Maximum Units on a Truck,maximum-units-on-a-truck,False,69868,96397,1710,False,1
,True,False,0,0,1828,,,,Count Ways to Distribute Candies,count-ways-to-distribute-candies,False,1024,1702,1692,False,3
,False,False,0,0,1826,,,,Maximum XOR With an Element From Array,maximum-xor-with-an-element-from-array,False,5957,13902,1707,False,3
,False,False,0,0,1825,,,,Find Minimum Time to Finish All Jobs,find-minimum-time-to-finish-all-jobs,False,9076,22196,1723,False,3
,False,False,0,0,1824,False,maximum-number-of-eaten-apples,False,Maximum Number of Eaten Apples,maximum-number-of-eaten-apples,False,11082,31852,1705,False,2
,False,False,0,0,1823,True,determine-if-string-halves-are-alike,False,Determine if String Halves Are Alike,determine-if-string-halves-are-alike,False,66066,84149,1704,False,1
,True,False,0,0,1822,,,,Longest Palindromic Subsequence II,longest-palindromic-subsequence-ii,False,2047,4037,1682,False,2
,False,False,0,0,1820,,,,Number Of Ways To Reconstruct A Tree,number-of-ways-to-reconstruct-a-tree,False,1857,4610,1719,False,3
,False,False,0,0,1819,,,,Construct the Lexicographically Largest Valid Sequence,construct-the-lexicographically-largest-valid-sequence,False,6461,13097,1718,False,2
,False,False,0,0,1818,,,,Maximum Score From Removing Substrings,maximum-score-from-removing-substrings,False,6859,16165,1717,False,2
,False,False,0,0,1817,,,,Calculate Money in Leetcode Bank,calculate-money-in-leetcode-bank,False,22325,34773,1716,False,1
,True,False,0,0,1816,,,,Lowest Common Ancestor of a Binary Tree IV,lowest-common-ancestor-of-a-binary-tree-iv,False,9115,11561,1676,False,2
,False,False,0,0,1815,,,,Checking Existence of Edge Length Limited Paths,checking-existence-of-edge-length-limited-paths,False,6237,12955,1697,False,3
,False,False,0,0,1814,True,jump-game-vi,False,Jump Game VI,jump-game-vi,False,30912,73782,1696,False,2
,False,False,0,0,1813,True,maximum-erasure-value,False,Maximum Erasure Value,maximum-erasure-value,False,32054,61297,1695,False,2
,False,False,0,0,1812,,,,Reformat Phone Number,reformat-phone-number,False,18763,28967,1694,False,1
,True,False,0,0,1810,,,,Change the Root of a Binary Tree,change-the-root-of-a-binary-tree,False,1747,2673,1666,False,2
,True,False,0,0,1809,,,,Sum Of Special Evenly-Spaced Elements In Array,sum-of-special-evenly-spaced-elements-in-array,False,805,1524,1714,False,3
,False,False,0,0,1808,True,stone-game-vii,False,Stone Game VII,stone-game-vii,False,22414,38184,1690,False,2
,False,False,0,0,1807,True,partitioning-into-minimum-number-of-deci-binary-numbers,False,Partitioning Into Minimum Number Of Deci-Binary Numbers,partitioning-into-minimum-number-of-deci-binary-numbers,False,54573,61984,1689,False,2
,False,False,0,0,1806,,,,Count of Matches in Tournament,count-of-matches-in-tournament,False,49844,60723,1688,False,1
,False,False,0,0,1805,,,,Minimum Adjacent Swaps for K Consecutive Ones,minimum-adjacent-swaps-for-k-consecutive-ones,False,3666,9756,1703,False,3
,False,False,0,0,1804,,,,Maximum Binary String After Change,maximum-binary-string-after-change,False,6813,15423,1702,False,2
,False,False,0,0,1803,,,,Average Waiting Time,average-waiting-time,False,14596,24001,1701,False,2
